Time,hr,Xacc,Zacc,Yacc,Xg,Zg,Yg
6.06,,12.58392429,-10.38202477,4.776432991,0.930643559,-4.962225914,0.521896005
6.08,,10.10353184,-10.50652313,4.077325821,3.100598574,-4.839840412,0.060022295
6.1,,8.149863243,-9.314210892,2.281674385,4.289337635,-4.475875378,-0.519980371
6.12,,6.234500885,-7.887266159,2.3726542,4.751211643,-3.871395588,-0.853082836
6.14,,6.962338448,-9.453074455,5.652710915,6.077236176,-3.191355705,-0.512530804
6.16,,1.991975904,-23.86138153,0.797269523,7.384104252,-0.837289751,-0.014473462
6.18,,3.347094059,-16.09937859,-8.678980827,9.388040543,-0.101910196,-2.647366524
6.2,,-3.854664564,15.42746925,-15.73229885,6.242190838,0.717543125,-6.139088631
6.22,,26.02497101,34.79177094,17.42739487,7.308544636,-0.322204798,-2.120574951
6.24,,9.481039047,11.40999889,-0.098161913,-3.453963757,-1.291713834,-0.107061043
6.26,,-14.36042118,-2.744521379,-2.947262049,-8.399417877,-1.920670867,-0.958441138
6.28,,0.090979666,-10.59271526,-8.913612366,-1.430871964,-0.602096021,-1.994996309
