Time,Xacc,hr,Zacc,Yacc,Xg,Zg,Yg
4.82,9.246407509,,0.305691689,0.481234938,-0.208077282,0.082371019,0.462129116
4.84,9.227253914,,0.387094527,0.462081283,-0.175086305,0.063214973,0.406789392
4.86,9.193735123,,0.181193173,0.466869682,-0.162315607,0.09088482,0.416367441
4.88,9.117120743,,0.147674352,0.284910381,-0.097397879,0.150481433,0.407853633
4.9,8.820239067,,0.185981572,0.390255243,-0.061214227,0.128132701,0.40466094
4.92,8.858546257,,0.372729331,0.270545155,-0.052700426,0.108976647,0.413174748
4.94,8.724471092,,0.300903291,0.299275577,-0.022902124,0.091949046,0.416367441
4.96,8.825027466,,0.516381383,0.126893044,0.01115308,0.065343417,0.447229952
4.98,8.748413086,,0.78453207,-0.079008296,0.01115308,0.083435245,0.44616574
5,8.365341187,91.28571429,1.143662333,0.222661123,-0.016516773,0.080242574,0.413174748
5.02,8.398859978,,1.555464983,0.146046653,-0.187857017,0.064279191,0.396147162
5.04,8.336610794,,2.058247328,-0.146045953,-0.413472742,0.157931015,0.45574376
5.06,8.125921249,,2.144438505,0.002394557,-0.671015203,0.179215521,0.544074416
5.08,8.216900826,,2.441319466,0.107739434,-0.947713733,0.252647042,0.648368478
5.1,7.771578312,,2.3120327,0.280121952,-1.271238208,0.39418897,0.717543125
5.12,7.819462299,,1.445331693,0.816423118,-1.362761617,0.427179962,0.654753864
5.14,7.268796444,,1.028740644,1.314417124,-1.192485571,0.469748974,0.494055867
5.16,7.125144005,,2.077400923,1.36708951,-0.973255098,0.369711816,0.307816476
5.18,7.694963932,,3.09254241,1.587356091,-1.031787515,0.81455791,0.512147665
5.2,3.691859007,,1.828404069,-0.016759057,-1.481954813,1.21470654,1.033617973
5.22,3.79241538,,0.631303072,-0.098161913,-1.462798715,0.412280798,0.709029317
5.24,3.744531393,,0.334422082,0.284910381,-1.020081043,0.621933162,1.012333512
5.26,2.585737944,,0.846781254,0.380678445,-0.930686116,0.638960779,1.275197029
5.28,2.758120537,,-0.039073378,0.524330497,-0.579491854,0.677272856,1.445473075
5.3,3.246537685,,-0.833948374,0.308852375,-0.133581534,0.765603542,1.580629706
5.32,4.477157116,,-0.814794779,-0.280121237,0.10693334,0.823071718,1.465693355
5.34,4.601655483,,1.751789451,-0.275332838,0.05904321,0.935879588,1.094278812
5.36,3.289633274,,5.678280354,1.620875001,-0.331527412,1.057201266,0.392954469
5.38,0.407014281,,3.973608732,0.447716087,0.113318697,1.251954436,-0.054020066
5.4,-3.026270866,,2.182745695,-1.802833438,1.001946688,1.160431027,-0.480774343
5.42,-5.080496311,,4.615254879,-4.163516045,-0.447527945,0.481455445,-1.589696884
5.44,-3.763684988,,7.378163815,-5.566518307,-2.006617546,0.148352981,-1.443898082
5.46,-0.751779318,,-0.350319594,-0.361524075,-2.352490902,0.508061051,-1.383237243
5.48,-1.790862918,,-7.710095406,-3.469197989,-3.072971106,0.482519656,-2.144158363
5.5,-2.686294317,,-10.2431612,-8.109160423,-1.736304522,-0.522108853,-2.151607752
5.52,-2.025494576,,-13.10662651,-5.169080734,-0.692299664,-1.222368956,-1.190612435
5.54,-3.222595453,,-12.10106182,-2.794033051,0.102676436,-1.55440712,-0.440333784
5.56,-4.065354347,,-11.66531754,5.34146452,0.720991254,-1.761931062,0.017283015
5.58,-3.347093821,,-6.814663887,17.10178375,-0.532665908,-0.551907122,0.170531437
5.6,39.51869202,,-36.51234055,-4.809950829,0.781652093,-0.411429405,5.867328644
5.62,54.95650482,,-54.80883026,21.20065689,0.701835215,5.366248608,11.83975887
5.64,58.32275391,,-24.08643532,-13.96537781,-0.946649492,-0.383759558,5.858814716
5.66,32.43185425,,-34.50121307,-22.23016167,7.059515953,5.65571785,14.23213768
5.68,-31.26348686,,-24.89088821,17.33641434,9.880776405,-4.263924122,11.78548336
5.7,20.8487072,,-20.85426331,33.6935997,-0.423050761,1.275367379,5.238371372
5.72,-2.250549555,,-37.7142334,21.78484154,-0.954099059,0.008939491,2.274504423
5.74,-12.43069458,,-14.52399445,7.07965517,-2.172636747,-0.443356156,0.939966202
5.76,4.113238335,,-11.47856903,7.15626955,-3.420972824,-0.267759025,0.884626448
5.78,2.873042107,,-10.30541039,-1.261743903,-2.822878361,1.068907738,1.091086149
5.8,-4.965574265,,-8.504970551,-2.339134693,-2.8835392,1.44990027,0.912296295
5.82,-1.493981838,,-7.437156677,-0.074219897,-1.807607651,1.435001135,-0.143414974
5.84,-1.173158884,,-6.723684311,0.687136233,-1.272302389,1.138082385,-0.604224443
5.86,-1.441309452,,-7.537713051,-1.529894471,0.544329882,0.731548369,-0.956482947
5.88,-2.45166254,,-5.172241688,-1.539471269,1.40422368,0.251582831,-0.828775942
5.9,-1.288080454,,-3.127593756,0.644040585,1.315893054,-0.148565814,-0.700004697
5.92,0.402225882,,-3.620799303,1.280898333,1.333984852,-0.310328037,-0.828775942
5.94,1.216254473,,-3.697413683,1.874660373,1.16796577,-0.082583867,-1.015015364
5.96,0.569820046,,-2.720579386,2.588132381,0.333613276,-0.030436838,-0.960739851
5.98,1.335964561,,-5.971905231,1.740585089,0.502825081,-0.283722401,-1.042685151
6,2.073378801,,-8.452298164,2.10929203,1.399966836,-0.23157537,-1.149107695
6.02,2.801216125,,-8.816217422,3.296816111,1.023231149,-0.386952251,-1.269365072
6.04,4.146757126,,-8.576796532,3.67509985,0.397466779,-0.468897581,-1.068226576
6.06,4.683058262,,-10.17612362,4.163517475,0.328292161,-0.136859342,-0.557398558
6.08,4.376600742,,-12.80495739,4.125209808,0.419815511,-0.096418798,-0.309434086
6.1,3.825934172,,-12.1824646,4.278439045,0.364475816,-0.132602438,-0.18491976
6.12,2.873042107,,-11.01888275,4.393360615,0.40917325,-0.208162427,0.1737241
6.14,3.533841848,,-10.47300434,4.733337402,0.639045894,-0.383759558,0.151375383
6.16,3.931279421,,-8.682142258,4.52743578,0.642238557,-0.446548849,0.018347241
6.18,2.791639328,,-6.632704735,5.116409779,0.287851602,-0.413557857,-0.113616675
6.2,4.295197487,,-5.066896915,6.251261234,-0.414536983,-0.327355623,0.092842996
6.22,4.616020679,,-7.082814693,5.63355732,-1.367018461,0.030223994,0.544074416
6.24,2.815581322,,-9.199289322,2.990358114,-1.697992444,0.149417207,0.924002826
6.26,1.604115129,,-9.060425758,1.70227778,-1.426615119,0.135582283,0.91761744
6.28,1.719036698,,-8.437932968,1.946486354,-1.056264758,0.134518057,0.858020842
6.3,1.565807939,,-8.557642937,2.04225421,-0.96474129,0.172830164,0.846314371
6.32,0.828393817,,-9.089156151,2.04225421,-0.88279599,0.129196927,0.710093558
6.34,0.574608445,,-9.802628517,1.845929861,-0.754024744,0.085563697,0.514276147
6.36,0.488417178,,-10.64538765,1.482011199,-0.551822007,0.046187367,0.304623783
